'Nombre: Aragon en Marcilla Código: C05 Fecha: 11/09/2010 Canales:18 IP: 10.15.2.21
'HHMM;1,A1,;2,A2,C;3,A3,uS;4,A4,mg/l;5,A5,mV;6,A6,mg/l;7,A7,m-1;8,A8,NTU;9,A9,m;10,A10,;11,A11,;12,A12,;13,A13,;14,A14,;15,A15,;16,A16,;17,A17,;18,A18,
0450 8.27V 17.01V 373.43V 9.80V 377.17V 0.02V 4.94V 17.97V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0500 8.26V 16.99V 374.85V 9.79V 378.10V 0.03V 4.91V 18.36V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0510 8.26V 16.97V 373.35V 9.79V 378.14V 0.02V 4.70V 18.33V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0520 8.25V 16.95V 374.85V 9.78V 379.16V 0.02V 4.84V 17.98V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0530 8.25V 16.93V 375.02V 9.77V 379.26V 0.03V 4.87V 18.35V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0540 8.24V 16.92V 376.17V 9.76V 380.19V 0.02V 4.84V 17.62V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0550 8.24V 16.89V 374.85V 9.74V 380.35V 0.02V 4.84V 17.69V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0600 8.23V 16.89V 377.75V 9.73V 381.28V 0.03V 4.77V 17.65V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0610 8.23V 16.87V 376.30V 9.73V 380.13V 0.03V 4.84V 17.65V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
0620 8.24V 16.85V 374.85V 9.75V 380.16V 0.02V 4.84V 17.97V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
