'EDAR Código:  Fecha:16/02/2013 Canales:2
'HHMM;1,Caudal,m3/s;2,Oxigeno,mg/l
0015 57.2048606872559V 0.017187500372529V 
0030 67.6215286254883V 0.017187500372529V 
0045 10.15625V 0.017187500372529V 
0100 31.7708320617676V 0.017187500372529V 
0115 62.847225189209V 0.017187500372529V 
0130 22.3090267181396V 0.017187500372529V 
0145 22.3090267181396V 0.017187500372529V 
0200 29.4270820617676V 0.017187500372529V 
0215 47.4826393127441V 0.017187500372529V 
0230 9.63541698455811V 0.017187500372529V 
0245 17.96875V 0.017187500372529V 
0300 17.4479179382324V 0.017187500372529V 
0315 23.7847232818604V 0.017187500372529V 
0330 28.7326393127441V 0.017187500372529V 
0345 8.24652767181396V 0.017187500372529V 
0400 10.4166669845581V 0.017187500372529V 
0415 32.1180572509766V 0.017187500372529V 
0430 18.6631946563721V 0.017187500372529V 
0445 0.0V 0.017187500372529V 
0500 10.8506946563721V 0.017187500372529V 
0515 31.6840267181396V 0.017187500372529V 
0530 13.1076393127441V 0.017187500372529V 
0545 22.7430553436279V 0.017187500372529V 
0600 27.4305553436279V 0.017187500372529V 
0615 43.4027786254883V 0.017187500372529V 
0630 30.1215267181396V 0.017187500372529V 
0645 13.1076393127441V 0.017187500372529V 
0700 17.3611106872559V 0.017187500372529V 
0715 19.7048625946045V 0.017187500372529V 
0730 13.8020830154419V 0.017187500372529V 
0745 4.86111116409302V 0.017187500372529V 
0800 5.81597232818604V 0.017187500372529V 
0815 40.7986106872559V 0.017187500372529V 
0830 13.5416660308838V 0.017187500372529V 
0845 0.0V 0.017187500372529V 
0900 11.71875V 0.017187500372529V 
0915 25.2604160308838V 0.017187500372529V 
0930 10.9375V 0.017187500372529V 
0945 0.0V 0.017187500372529V 
1000 0.0V 0.017187500372529V 
1015 10.590277671814V 0.017187500372529V 
1030 6.16319417953491V 0.017187500372529V 
1045 4.51388883590698V 0.017187500372529V 
1100 13.4548616409302V 0.017187500372529V 
1115 21.3541660308838V 0.017187500372529V 
1130 10.590277671814V 0.017187500372529V 
1145 6.25V 0.017187500372529V 
1200 11.4583330154419V 0.017187500372529V 
1215 39.9305534362793V 0.017187500372529V 
1230 17.5347232818604V 0.017187500372529V 
1245 5.72916650772095V 0.017187500372529V 
1300 5.72916650772095V 0.017187500372529V 
1315 18.2291660308838V 0.017187500372529V 
1330 15.277777671814V 0.017187500372529V 
1345 5.98958349227905V 0.017187500372529V 
1400 6.25V 0.017187500372529V 
1415 13.4548616409302V 0.017187500372529V 
1430 4.77430582046509V 0.017187500372529V 
1445 0.0V 0.017187500372529V 
1500 7.46527767181396V 0.017187500372529V 
1515 13.5416660308838V 0.017187500372529V 
1530 0.0V 0.017187500372529V 
1545 0.0V 0.017187500372529V 
1600 11.4583330154419V 0.017187500372529V 
1615 40.4513893127441V 0.017187500372529V 
1630 36.0243034362793V 0.017187500372529V 
1645 16.5798606872559V 0.017187500372529V 
1700 22.7430553436279V 0.017187500372529V 
1715 51.3020858764648V 0.017187500372529V 
1730 31.25V 0.017187500372529V 
1745 14.0625V 0.017187500372529V 
1800 14.6701383590698V 0.017187500372529V 
1815 40.1041641235352V 0.017187500372529V 
1830 23.8715286254883V 0.017187500372529V 
1845 9.20138931274414V 0.017187500372529V 
1900 15.972222328186V 0.017187500372529V 
1915 32.4652786254883V 0.017187500372529V 
1930 17.5347232818604V 0.017187500372529V 
1945 7.98611116409302V 0.017187500372529V 
2000 13.8020830154419V 0.017187500372529V 
2015 37.5V 0.017187500372529V 
2030 21.4409732818604V 0.017187500372529V 
2045 8.24652767181396V 0.017187500372529V 
2100 15.1041669845581V 0.017187500372529V 
2115 39.2361106872559V 0.017187500372529V 
2130 26.2152786254883V 0.017187500372529V 
2145 14.409722328186V 0.017187500372529V 
2200 23.6111106872559V 0.017187500372529V 
2215 41.40625V 0.017187500372529V 
2230 24.7395820617676V 0.017187500372529V 
2245 9.46180534362793V 0.017187500372529V 
2300 17.7083320617676V 0.017187500372529V 
2315 31.25V 0.017187500372529V 
2330 18.4027786254883V 0.017187500372529V 
2345 7.55208349227905V 0.017187500372529V 
2400 12.5868053436279V 0.017187500372529V 
